Source (A),Source (B),Source (C),Source (D),Source (E),Source (F),Source (G),Source (H),Source (I),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Monday Motorbikes,"Bolt bridges the gap between motorcycle riders and bicycle riders in a fun, thrilling and stylish way.",102,17,2,0,16,6,6.0,17,99.00,50.00,28.81,99.00,17.00,35.29,64.71,35.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,11.76,0.00,0.00,11.76,0.00,0.00,5.88,0.00,0.00,0.00,0.00,11.76,11.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.65,0.00,17.65,0.00,0.00,11.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Monterey Bay Aquarium,The mission of the non-profit Monterey Bay Aquarium is to inspire conservation of the oceans,92,15,1,0,11,7,6.133333333333334,16,99.00,50.00,1.00,99.00,16.00,31.25,56.25,43.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,18.75,6.25,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,6.25,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00
Morgan Stanley,"To provide our clients with the finest financial thinking, products and execution.",82,12,2,0,11,5,6.833333333333333,12,98.14,99.00,1.79,99.00,12.00,50.00,100.00,41.67,8.33,8.33,0.00,8.33,0.00,0.00,0.00,0.00,8.33,16.67,0.00,0.00,8.33,0.00,8.33,8.33,8.33,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,16.67,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,16.67,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Moz,"The TAGFEE code: our mission to be as Transparent, Authentic, Generous, Fun, Empathetic, and Exceptional as possible.",117,17,7,1,9,7,6.882352941176471,17,85.92,96.11,1.00,99.00,17.00,41.18,64.71,41.18,5.88,5.88,0.00,5.88,0.00,0.00,0.00,0.00,5.88,17.65,5.88,0.00,17.65,0.00,5.88,17.65,11.76,0.00,0.00,0.00,11.76,11.76,0.00,0.00,0.00,0.00,11.76,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,11.76,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.18,5.88,29.41,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NANYANG TECHNOLOGICAL UNIVERSITY (NTU),"A great global university founded on science and technology, 
nurturing leaders through research and a broad education in diverse disciplines. ",143,20,2,1,19,7,7.15,20,99.00,69.14,43.37,99.00,20.00,55.00,85.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,15.00,0.00,0.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,10.00,10.00,5.00,0.00,5.00,0.00,0.00,20.00,0.00,20.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nasdaq Entrepreneurial Center,"The Nasdaq Entrepreneurial Center is a San Francisco-based non-profit organization designed to educate, innovate, and connect aspiring and current entrepreneurs.",161,20,5,0,14,6,8.05,22,93.26,50.00,2.40,94.75,22.00,45.45,63.64,27.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,4.55,4.55,0.00,9.09,0.00,9.09,0.00,0.00,0.00,0.00,0.00,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,0.00,4.55,0.00,0.00,0.00,4.55,0.00,0.00,9.09,0.00,9.09,0.00,4.55,4.55,18.18,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.73,4.55,9.09,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00
Natel Energy,"Natel Energy is an international water+energy innovation company based in California. We are driven by a vision of hydropower that is a climate resilient, decentralized, baseload, renewable energy solution at both small and utility-scale.",238,34,7,0,30,14,7.0,36,95.47,79.76,39.76,99.00,18.00,33.33,66.67,36.11,5.56,2.78,0.00,2.78,0.00,0.00,0.00,2.78,8.33,11.11,8.33,0.00,2.78,0.00,11.11,2.78,0.00,0.00,0.00,2.78,8.33,8.33,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,5.56,2.78,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.78,0.00,0.00,0.00,2.78,11.11,2.78,5.56,2.78,0.00,0.00,0.00,8.33,0.00,16.67,2.78,13.89,0.00,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.44,5.56,8.33,0.00,0.00,0.00,0.00,2.78,0.00,0.00,0.00,2.78
NATIONAL CENTRAL UNIVERSITY," Emphasizing Both Professional Skills and
Liberal Arts Education
• Cultivating Pioneers and Leadership in Each
Student
• Leading Innovation and Creation of Knowledge
• Pursuing Academic Excellence
• Sustaining the Development of Society
• Enhancing the Welfare of Humankind",273,39,0,0,9,11,7.0,34,98.27,81.12,6.20,98.87,34.00,61.76,76.47,26.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,11.76,0.00,0.00,8.82,0.00,0.00,2.94,0.00,0.00,0.00,5.88,5.88,5.88,0.00,0.00,0.00,0.00,8.82,0.00,0.00,0.00,0.00,8.82,2.94,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.65,0.00,11.76,11.76,0.00,0.00,0.00,0.00,0.00,8.82,2.94,5.88,0.00,29.41,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.71
NATIONAL CHENG KUNG UNIVERSITY,"Facilitate university-industry collaboration Promote university discoveries via germination, IP management,technology transfer, and business incubation Benefit to the society via internship, industrial talent training 
  and job creation Global outreach.",254,28,6,1,23,4,9.071428571428571,30,97.53,63.05,23.51,99.00,30.00,66.67,73.33,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,10.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,6.67,3.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,3.33,6.67,3.33,6.67,0.00,0.00,0.00,0.00,13.33,3.33,10.00,0.00,33.33,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,3.33,13.33,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00
National Multiple Sclerosis Society,We mobilize people and resources to drive research for a cure and to address the challenges of everyone affected by MS,118,21,0,1,19,10,5.619047619047619,21,99.00,99.00,1.00,95.81,21.00,33.33,90.48,52.38,9.52,4.76,0.00,4.76,0.00,0.00,0.00,4.76,9.52,23.81,0.00,0.00,9.52,0.00,4.76,0.00,0.00,0.00,0.00,0.00,4.76,4.76,0.00,0.00,0.00,0.00,19.05,0.00,0.00,4.76,0.00,9.52,0.00,4.76,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,4.76,4.76,4.76,0.00,0.00,4.76,0.00,0.00,4.76,4.76,0.00,0.00,14.29,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
National Parks Conservation Association,to protect and enhance America's National Park System for present and future generations,88,13,1,0,9,4,6.769230769230769,13,93.26,50.00,94.81,25.77,13.00,46.15,69.23,30.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,0.00,0.00,15.38,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,7.69,0.00,7.69,7.69,30.77,0.00,7.69,23.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00
NATIONAL TAIWAN UNIVERSITY (NTU),"To provide an excellent environment for students and faculty to learn and innovate, to off er leaders of society and researchers the most innovative knowledge, and to raise the level of Taiwan's scholarship, assist national economic development, and resolve major problems of establishing the prospect of sustained development for humanity. Broadly embracing top professionals from around the world, and dedicated to our core philosophy of excellence in education, excellence in research, and social concern, we aim to make NTU into a renowned bastion of education and research in fulfi lling our vision to be ranked ""the pinnacle of the Chinese and the first-rate in the world.",678,106,13,1,101,46,6.39622641509434,107,99.00,84.81,15.67,77.39,53.50,36.45,79.44,43.93,2.80,2.80,0.00,2.80,0.00,0.00,0.00,0.00,9.35,22.43,0.93,0.93,8.41,0.00,2.80,3.74,1.87,0.00,0.93,0.93,4.67,3.74,0.93,0.00,0.00,0.00,7.48,0.00,0.00,0.00,0.00,5.61,2.80,0.93,0.93,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.02,3.74,5.61,4.67,0.00,1.87,0.93,3.74,0.93,13.08,0.00,12.15,0.93,15.89,0.00,0.00,1.87,0.00,0.00,0.93,0.00,0.00,0.00,0.93,0.00,12.15,1.87,7.48,0.00,0.00,0.00,0.00,0.93,0.93,0.93,0.00,0.00
NATIONAL TECHNICAL UNIVERSITY OF ATHENS,"Choosing ""Prometheus bringing the fire from the gods to the mankind"", as its symbol, NTUA never loses sight of the real human needs and dimensions. Its final concerns are quality of life and protection of democratic rights and achievements. It integrates its mission by adopting the timeless valuable social role of the traditional Universities. Consequently, it develops the broader personal and social qualities of its academic and research staff and its students by
⬜ Cultivating their skills for self-reliant access to knowledge, synthesis, research, communication and cooperation for staff and project management
⬜ Developing well integrated personalities equipped not only with renewable scientific and technological knowledge, but also with responsibility as professionals and democratic citizens
⬜ Strengthening their general background for contribution in the overall complex of scientific, technological, social and cultural development of Greece and the International community",988,139,15,1,124,54,7.107913669064748,137,90.98,74.45,2.78,53.20,34.25,42.34,80.29,41.61,6.57,1.46,0.00,0.00,0.00,0.00,1.46,5.11,6.57,14.60,0.73,2.92,11.68,1.46,2.92,5.84,2.19,0.00,0.00,0.00,3.65,2.19,0.73,0.00,0.00,0.73,9.49,0.00,0.00,0.00,0.00,7.30,2.92,0.73,0.73,0.73,0.73,1.46,1.46,0.73,0.00,0.73,0.73,0.00,0.73,0.00,0.00,13.14,5.11,2.19,3.65,1.46,2.19,0.00,2.19,0.00,5.84,0.73,2.92,2.19,13.14,0.00,0.00,0.00,0.00,0.00,0.73,0.00,0.00,0.00,0.73,0.00,10.95,2.19,6.57,0.00,0.00,0.00,0.00,0.73,1.46,0.00,0.00,0.00
"NATIONAL UNIVERSITY OF IRELAND, GALWAY (NUIG)","To foster a vibrant community of students and staff, where distinguished learning, impactful research, and creative thinking are shared with the world.
  
  We will fulfil this mission over the coming years with renewed vision, and with our eyes firmly on the opportunities and challenges ahead.",295,45,6,0,43,21,6.555555555555555,45,96.48,86.68,58.07,99.00,22.50,28.89,82.22,48.89,6.67,4.44,0.00,4.44,0.00,0.00,0.00,2.22,8.89,17.78,4.44,2.22,8.89,0.00,15.56,2.22,0.00,2.22,0.00,0.00,8.89,8.89,0.00,0.00,0.00,0.00,8.89,0.00,0.00,0.00,0.00,8.89,4.44,2.22,0.00,0.00,0.00,2.22,2.22,2.22,0.00,0.00,2.22,2.22,0.00,0.00,0.00,24.44,8.89,8.89,6.67,2.22,0.00,2.22,2.22,6.67,15.56,2.22,8.89,4.44,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,4.44,8.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NATIONAL UNIVERSITY OF SINGAPORE (NUS),"A people-centric team which provides high quality and value-added services to our stakeholders, through staff empowerment, collaborative engagement and innovative solutions.",173,21,5,1,20,7,8.238095238095237,23,88.21,99.00,2.02,99.00,23.00,47.83,78.26,30.43,8.70,4.35,0.00,4.35,0.00,0.00,0.00,4.35,4.35,8.70,0.00,0.00,8.70,0.00,0.00,4.35,0.00,4.35,0.00,4.35,8.70,8.70,0.00,0.00,0.00,0.00,21.74,0.00,0.00,0.00,0.00,4.35,4.35,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.43,13.04,8.70,8.70,4.35,0.00,4.35,4.35,0.00,4.35,0.00,4.35,0.00,17.39,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.74,4.35,8.70,0.00,0.00,0.00,0.00,8.70,0.00,0.00,0.00,0.00
National Wildlife Federation,Inspiring Americans to protect wildlife for our children's future,65,9,1,0,7,3,7.222222222222222,9,98.87,99.00,58.07,99.00,9.00,55.56,77.78,33.33,11.11,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,11.11,0.00,11.11,0.00,11.11,0.00,0.00,11.11,11.11,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00
Nationwide,We exist to protect what‚Äôs most important and build a secure financial future for U.S. consumers and businesses.,114,18,3,1,15,7,6.333333333333333,19,86.88,85.38,1.00,99.00,19.00,26.32,78.95,36.84,10.53,5.26,0.00,5.26,0.00,0.00,0.00,5.26,5.26,10.53,0.00,0.00,10.53,0.00,0.00,5.26,5.26,5.26,0.00,5.26,10.53,10.53,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.05,5.26,0.00,5.26,0.00,10.53,0.00,0.00,5.26,5.26,0.00,0.00,5.26,15.79,0.00,0.00,15.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,15.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NerdWallet,NerdWallet is on a mission to provide clarity for all of life's financial decisions.,84,14,2,0,13,7,6.0,14,99.00,76.25,13.15,1.00,14.00,42.86,78.57,42.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,28.57,7.14,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,7.14,7.14,0.00,7.14,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,14.29,7.14,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,7.14,0.00,7.14,0.00,7.14,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00
Nescafe,"The world's leading nutrition, health and wellness company. Our mission of ""Good Food, Good Life"" is to provide consumers with the best tasting, most nutritious choices in a wide range of food and beverage categories and eating occasions, from morning to night.",261,42,9,0,36,16,6.214285714285714,42,99.00,82.96,37.24,99.00,21.00,33.33,88.10,35.71,2.38,2.38,0.00,2.38,0.00,0.00,0.00,0.00,7.14,16.67,2.38,0.00,7.14,0.00,7.14,7.14,4.76,0.00,0.00,2.38,9.52,9.52,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,9.52,4.76,2.38,0.00,2.38,0.00,0.00,2.38,0.00,0.00,0.00,19.05,0.00,9.52,0.00,9.52,11.90,2.38,4.76,4.76,7.14,0.00,0.00,4.76,0.00,14.29,2.38,4.76,7.14,7.14,0.00,0.00,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.43,4.76,9.52,0.00,0.00,0.00,0.00,0.00,4.76,2.38,0.00,0.00
Nestle,"The world's leading nutrition, health and wellness company. Our mission of ""Good Food, Good Life"" is to provide consumers with the best tasting, most nutritious choices in a wide range of food and beverage categories and eating occasions, from morning to night.",261,42,9,0,36,16,6.214285714285714,42,99.00,82.96,37.24,99.00,21.00,33.33,88.10,35.71,2.38,2.38,0.00,2.38,0.00,0.00,0.00,0.00,7.14,16.67,2.38,0.00,7.14,0.00,7.14,7.14,4.76,0.00,0.00,2.38,9.52,9.52,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,9.52,4.76,2.38,0.00,2.38,0.00,0.00,2.38,0.00,0.00,0.00,19.05,0.00,9.52,0.00,9.52,11.90,2.38,4.76,4.76,7.14,0.00,0.00,4.76,0.00,14.29,2.38,4.76,7.14,7.14,0.00,0.00,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.43,4.76,9.52,0.00,0.00,0.00,0.00,0.00,4.76,2.38,0.00,0.00
Netflix,"At Netflix, we want to entertain the world. Whatever your taste, and no matter where you live, we give you access to best-in-class TV shows, movies and documentaries. Our members control what they want to watch, when they want it, with no ads, in one simple subscription. We’re streaming in more than 30 languages and 190 countries, because great stories can come from anywhere and be loved everywhere. We are the world’s biggest fans of entertainment, and we’re always looking to help you find your next favorite story.",520,88,16,1,79,39,5.909090909090909,90,52.71,99.00,13.73,99.00,18.00,20.00,90.00,50.00,17.78,14.44,0.00,6.67,5.56,0.00,2.22,3.33,2.22,13.33,3.33,4.44,7.78,2.22,13.33,8.89,4.44,4.44,3.33,1.11,6.67,6.67,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,11.11,1.11,2.22,3.33,1.11,2.22,1.11,4.44,3.33,0.00,0.00,3.33,0.00,1.11,0.00,1.11,15.56,10.00,1.11,4.44,3.33,0.00,0.00,14.44,0.00,15.56,1.11,11.11,3.33,1.11,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.11,5.56,10.00,0.00,0.00,0.00,0.00,2.22,0.00,3.33,0.00,0.00
New York Public Library,"To inspire lifelong learning, advance knowledge, and strengthen our communities",79,10,2,0,9,3,7.9,10,78.30,99.00,99.00,99.00,10.00,70.00,90.00,30.00,10.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,30.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,20.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NEW YORK UNIVERSITY (NYU),"New York University’s mission is to be a top quality international center of scholarship, teaching and research. This involves retaining and attracting outstanding faculty who are leaders in their fields, encouraging them to create programs that draw outstanding students, and providing an intellectually rich environment. NYU seeks to take academic and cultural advantage of its location and to embrace diversity among faculty, staff and students to ensure a wide range of perspectives, including international perspectives, in the educational experience.",556,79,9,1,74,29,7.037974683544304,79,94.35,84.44,5.49,99.00,26.33,43.04,82.28,39.24,7.59,2.53,0.00,0.00,0.00,0.00,2.53,5.06,5.06,15.19,3.80,0.00,7.59,0.00,6.33,10.13,1.27,1.27,0.00,0.00,7.59,7.59,0.00,0.00,0.00,0.00,10.13,0.00,0.00,0.00,0.00,3.80,0.00,1.27,2.53,0.00,0.00,0.00,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.92,1.27,5.06,8.86,2.53,0.00,0.00,5.06,0.00,13.92,0.00,12.66,1.27,16.46,0.00,0.00,2.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.66,3.80,7.59,0.00,0.00,0.00,0.00,0.00,0.00,1.27,0.00,0.00
NEWCASTLE UNIVERSITY,"Our mission statement recognises the breadth of our academic purpose, our current and aspirational strengths, and our pivotal position in society.

We aim to:

be a world-class research-intensive University
deliver teaching and facilitate learning of the highest quality
play a leading role in the economic, social and cultural development of the North East of England",368,55,7,0,49,22,6.6909090909090905,56,96.99,99.00,64.41,87.20,28.00,48.21,85.71,41.07,8.93,8.93,0.00,8.93,0.00,0.00,0.00,0.00,10.71,12.50,1.79,0.00,7.14,0.00,3.57,5.36,1.79,0.00,0.00,0.00,3.57,3.57,0.00,0.00,0.00,0.00,16.07,0.00,0.00,0.00,0.00,8.93,5.36,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.43,10.71,3.57,8.93,0.00,0.00,0.00,3.57,0.00,17.86,3.57,12.50,1.79,14.29,1.79,0.00,1.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,1.79,5.36,1.79,0.00,0.00,0.00,3.57,0.00,0.00,0.00,0.00
NewSchools Venture Fund,Our mission is to transform public education through powerful ideas and passionate entrepreneurs so that all children ‚Äì especially those in underserved communities ‚Äì have the opportunity to succeed.,202,29,1,0,26,13,6.9655172413793105,29,69.54,95.75,1.00,99.00,29.00,44.83,82.76,44.83,10.34,3.45,0.00,3.45,0.00,0.00,0.00,6.90,3.45,13.79,6.90,6.90,6.90,0.00,6.90,0.00,0.00,0.00,0.00,3.45,10.34,10.34,0.00,0.00,0.00,0.00,13.79,0.00,0.00,0.00,0.00,10.34,3.45,0.00,0.00,0.00,6.90,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00,3.45,0.00,24.14,6.90,10.34,10.34,6.90,0.00,0.00,6.90,0.00,3.45,0.00,3.45,0.00,10.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nextspace,"NextSpace was created because we realized, right at the beginning, that there were thousands of people like us who wanted to work and live differently. We understood that the best ideas and the best work often comes from our connections with other people. We understood that if you‚Äôre going to spend eight or twelve hours a day somewhere, doing something, it ought to be in a setting that works for you, not against you. That‚Äôs what NextSpace is all about.
 Every NextSpace is unique‚Äîwe aren‚Äôt a franchise or a concept. Spaces are created and run, above all, to serve their members. We helped to create the entire concept of coworking all those years ago because we believed in it. We believed there was a need for a place where people could go and do their best work. We were right. And we still are.",809,144,17,0,129,72,5.618055555555555,148,50.01,96.04,45.17,91.56,14.80,16.89,91.89,57.43,18.92,10.14,0.00,6.76,2.03,0.00,1.35,8.11,6.76,12.16,8.78,4.73,6.76,0.68,20.95,2.70,3.38,2.03,2.03,3.38,4.05,4.05,0.00,0.00,0.00,0.00,14.19,0.00,0.00,0.00,0.00,20.27,4.05,3.38,3.38,4.05,3.38,4.73,0.00,0.00,0.00,0.00,0.68,0.00,0.68,0.00,0.00,14.86,7.43,6.76,2.70,2.03,0.00,9.46,10.81,0.68,14.86,2.70,7.43,4.73,4.05,0.00,0.00,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.49,6.76,4.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nike,To bring inspiration and innovation to every athlete* in the world.,67,11,2,0,10,5,6.090909090909091,11,99.00,50.00,99.00,99.00,11.00,27.27,90.91,45.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,27.27,0.00,0.00,9.09,0.00,9.09,0.00,0.00,0.00,0.00,9.09,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,9.09,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,27.27,9.09,18.18,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09
Nima,"Nima is bringing peace of mind to meal time. We believe you should be able to trust your food, and food transparency is your best tool for making informed, healthy decisions. We exist so you can eat with confidence and live your live well.",239,44,5,0,41,20,5.431818181818182,44,32.58,99.00,2.40,99.00,14.67,15.91,88.64,47.73,15.91,15.91,0.00,4.55,11.36,0.00,0.00,0.00,0.00,11.36,11.36,4.55,6.82,0.00,25.00,4.55,2.27,0.00,0.00,0.00,13.64,13.64,0.00,0.00,0.00,0.00,20.45,0.00,0.00,0.00,0.00,13.64,6.82,2.27,2.27,0.00,2.27,0.00,0.00,0.00,0.00,0.00,13.64,0.00,4.55,0.00,9.09,13.64,4.55,6.82,4.55,4.55,2.27,2.27,20.45,0.00,4.55,2.27,0.00,2.27,0.00,0.00,0.00,0.00,0.00,0.00,2.27,0.00,0.00,0.00,2.27,0.00,11.36,6.82,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
